# Selection     : all
# Cells         : 1000
# Volume        : 1.00000000e+00
# Time          	max(p)	max(U)
2.3             	1.74984057e+00	(1.37490663e+00 1.13147496e-01 0.00000000e+00)
2.35            	1.74597884e+00	(1.37823160e+00 1.13148552e-01 0.00000000e+00)
2.4             	1.74234363e+00	(1.38144610e+00 1.13149447e-01 0.00000000e+00)
2.45            	1.73891968e+00	(1.38455340e+00 1.13150212e-01 0.00000000e+00)
2.5             	1.73569300e+00	(1.38755672e+00 1.13150869e-01 0.00000000e+00)
2.55            	1.73265070e+00	(1.39045920e+00 1.13151435e-01 0.00000000e+00)
2.6             	1.72978091e+00	(1.39326392e+00 1.13151921e-01 0.00000000e+00)
2.65            	1.72707265e+00	(1.39597386e+00 1.13152337e-01 0.00000000e+00)
2.7             	1.72451579e+00	(1.39859198e+00 1.13152690e-01 0.00000000e+00)
2.75            	1.72210093e+00	(1.40112111e+00 1.13152989e-01 0.00000000e+00)
2.8             	1.71981938e+00	(1.40356406e+00 1.13153240e-01 0.00000000e+00)
2.85            	1.71766307e+00	(1.40592355e+00 1.13153450e-01 0.00000000e+00)
2.9             	1.71562449e+00	(1.40820222e+00 1.13153625e-01 0.00000000e+00)
2.95            	1.71369508e+00	(1.41040266e+00 1.13153770e-01 0.00000000e+00)
3               	1.71187151e+00	(1.41252739e+00 1.13153891e-01 0.00000000e+00)
3.05            	1.71014627e+00	(1.41457886e+00 1.13153990e-01 0.00000000e+00)
3.1             	1.70851358e+00	(1.41655945e+00 1.13154073e-01 0.00000000e+00)
3.15            	1.70696818e+00	(1.41847147e+00 1.13154142e-01 0.00000000e+00)
3.2             	1.70550513e+00	(1.42031718e+00 1.13154199e-01 0.00000000e+00)
3.25            	1.70411981e+00	(1.42209875e+00 1.13154246e-01 0.00000000e+00)
3.3             	1.70280790e+00	(1.42381833e+00 1.13154286e-01 0.00000000e+00)
3.35            	1.70156535e+00	(1.42547796e+00 1.13154319e-01 0.00000000e+00)
3.4             	1.70038837e+00	(1.42707966e+00 1.13154347e-01 0.00000000e+00)
3.45            	1.69927338e+00	(1.42862536e+00 1.13154371e-01 0.00000000e+00)
3.5             	1.69821702e+00	(1.43011694e+00 1.13154390e-01 0.00000000e+00)
3.55            	1.69721617e+00	(1.43155624e+00 1.13154407e-01 0.00000000e+00)
3.6             	1.69626784e+00	(1.43294502e+00 1.13154420e-01 0.00000000e+00)
3.65            	1.69536925e+00	(1.43428500e+00 1.13154432e-01 0.00000000e+00)
3.7             	1.69451775e+00	(1.43557785e+00 1.13154442e-01 0.00000000e+00)
3.75            	1.69371089e+00	(1.43682517e+00 1.13154450e-01 0.00000000e+00)
3.8             	1.69294632e+00	(1.43802852e+00 1.13154456e-01 0.00000000e+00)
3.85            	1.69222183e+00	(1.43918941e+00 1.13154462e-01 0.00000000e+00)
3.9             	1.69153197e+00	(1.44030923e+00 1.13154467e-01 0.00000000e+00)
3.95            	1.69088456e+00	(1.44138952e+00 1.13154471e-01 0.00000000e+00)
4               	1.69026856e+00	(1.44243161e+00 1.13154474e-01 0.00000000e+00)
4.05            	1.68968459e+00	(1.44343682e+00 1.13154477e-01 0.00000000e+00)
4.1             	1.68913149e+00	(1.44440641e+00 1.13154479e-01 0.00000000e+00)
4.15            	1.68860755e+00	(1.44534164e+00 1.13154481e-01 0.00000000e+00)
4.2             	1.68811131e+00	(1.44624369e+00 1.13154483e-01 0.00000000e+00)
4.25            	1.68764136e+00	(1.44711372e+00 1.13154484e-01 0.00000000e+00)
4.3             	1.68719635e+00	(1.44795285e+00 1.13154485e-01 0.00000000e+00)
4.35            	1.68677502e+00	(1.44876216e+00 1.13154486e-01 0.00000000e+00)
4.4             	1.68637617e+00	(1.44954269e+00 1.13154487e-01 0.00000000e+00)
4.45            	1.68599867e+00	(1.45029545e+00 1.13154487e-01 0.00000000e+00)
4.5             	1.68564143e+00	(1.45102143e+00 1.13154488e-01 0.00000000e+00)
4.55            	1.68530343e+00	(1.45172155e+00 1.13154488e-01 0.00000000e+00)
4.6             	1.68498370e+00	(1.45239674e+00 1.13154489e-01 0.00000000e+00)
