# Selection     : all
# Cells         : 1000
# Volume        : 1.00000000e+00
# Time          	minMag(U)
15.2            	2.94269012e-01
15.25           	2.94269010e-01
15.3            	2.94269002e-01
15.35           	2.94269001e-01
15.4            	2.94269000e-01
15.45           	2.94268999e-01
15.5            	2.94268998e-01
15.55           	2.94268998e-01
15.6            	2.94268998e-01
15.65           	2.94268999e-01
15.7            	2.94269008e-01
15.75           	2.94269003e-01
15.8            	2.94269000e-01
15.85           	2.94268996e-01
15.9            	2.94268998e-01
15.95           	2.94268997e-01
16              	2.94268997e-01
16.05           	2.94268996e-01
16.1            	2.94268999e-01
16.15           	2.94269002e-01
16.2            	2.94269004e-01
16.25           	2.94269005e-01
16.3            	2.94269005e-01
16.35           	2.94269007e-01
16.4            	2.94269010e-01
16.45           	2.94269011e-01
16.5            	2.94269012e-01
16.55           	2.94269013e-01
16.6            	2.94269014e-01
16.65           	2.94269014e-01
16.7            	2.94269015e-01
16.75           	2.94269015e-01
16.8            	2.94269016e-01
16.85           	2.94269016e-01
16.9            	2.94269016e-01
16.95           	2.94269015e-01
17              	2.94269012e-01
17.05           	2.94269010e-01
17.1            	2.94269007e-01
17.15           	2.94269006e-01
17.2            	2.94269007e-01
17.25           	2.94269008e-01
17.3            	2.94269008e-01
17.35           	2.94269011e-01
17.4            	2.94269012e-01
17.45           	2.94269012e-01
17.5            	2.94269012e-01
17.55           	2.94269012e-01
17.6            	2.94269014e-01
17.65           	2.94269013e-01
17.7            	2.94269011e-01
17.75           	2.94269009e-01
17.8            	2.94269007e-01
17.85           	2.94269007e-01
17.9            	2.94269009e-01
17.95           	2.94269010e-01
18              	2.94269011e-01
18.05           	2.94269011e-01
18.1            	2.94269012e-01
18.15           	2.94269013e-01
18.2            	2.94269012e-01
18.25           	2.94269012e-01
18.3            	2.94269012e-01
18.35           	2.94269012e-01
18.4            	2.94269012e-01
18.45           	2.94269012e-01
18.5            	2.94269011e-01
18.55           	2.94269011e-01
18.6            	2.94269013e-01
18.65           	2.94269013e-01
18.7            	2.94269011e-01
18.75           	2.94269009e-01
18.8            	2.94269008e-01
18.85           	2.94269006e-01
18.9            	2.94269007e-01
18.95           	2.94269009e-01
19              	2.94269011e-01
19.05           	2.94269013e-01
19.1            	2.94269012e-01
19.15           	2.94269012e-01
19.2            	2.94269012e-01
19.25           	2.94269012e-01
19.3            	2.94269011e-01
19.35           	2.94269011e-01
19.4            	2.94269011e-01
19.45           	2.94269009e-01
19.5            	2.94269009e-01
19.55           	2.94269009e-01
19.6            	2.94269009e-01
19.65           	2.94269009e-01
19.7            	2.94269010e-01
19.75           	2.94269010e-01
19.8            	2.94269010e-01
19.85           	2.94269010e-01
19.9            	2.94269010e-01
19.95           	2.94269010e-01
20              	2.94269010e-01
