# Selection     : all
# Cells         : 1000
# Volume        : 1.00000000e+00
# Time          	maxMag(U)
19.2            	1.47015223e+00
19.25           	1.47015223e+00
19.3            	1.47015222e+00
19.35           	1.47015223e+00
19.4            	1.47015224e+00
19.45           	1.47015223e+00
19.5            	1.47015222e+00
19.55           	1.47015222e+00
19.6            	1.47015222e+00
19.65           	1.47015222e+00
19.7            	1.47015222e+00
19.75           	1.47015222e+00
19.8            	1.47015222e+00
19.85           	1.47015222e+00
19.9            	1.47015222e+00
19.95           	1.47015222e+00
20              	1.47015222e+00
